NOWAK
KOWALSKA
WISNIEWSKA
WOJCIK
KOWALCZYK
KAMINSKA
LEWANDOWSKA
ZIELINSKA
SZYMANSKA
DABROWSKA
WOZNIAK
KOZLOWSKA
MAZUR
JANKOWSKA
KWIATKOWSKA
WOJCIECHOWSKA
KRAWCZYK
KACZMAREK
PIOTROWSKA
GRABOWSKA
PAWLOWSKA
MICHALSKA
KROL
ZAJAC
WIECZOREK
JABLONSKA
WROBEL
NOWAKOWSKA
MAJEWSKA
OLSZEWSKA
ADAMCZYK
JAWORSKA
MALINOWSKA
STEPIEN
DUDEK
GORSKA
NOWICKA
WITKOWSKA
PAWLAK
SIKORA
WALCZAK
RUTKOWSKA
MICHALAK
SZEWCZYK
OSTROWSKA
BARAN
TOMASZEWSKA
ZALEWSKA
WROBLEWSKA
PIETRZAK
JASINSKA
MARCINIAK
SADOWSKA
JAKUBOWSKA
ZAWADZKA
DUDA
WLODARCZYK
CHMIELEWSKA
BORKOWSKA
BAK
WILK
SOKOLOWSKA
SZCZEPANSKA
SAWICKA
LIS
KUCHARSKA
KALINOWSKA
MACIEJEWSKA
MAZUREK
WYSOCKA
KUBIAK
KOLODZIEJ
CZARNECKA
KAZMIERCZAK
URBANSKA
SIKORSKA
KRUPA
SOBCZAK
KRAJEWSKA
GLOWACKA
ZAKRZEWSKA
WASILEWSKA
LASKOWSKA
ZIOLKOWSKA
GAJEWSKA
KOZAK
SZULC
MROZ
MAKOWSKA
BRZEZINSKA
PRZYBYLSKA
KACZMARCZYK
BARANOWSKA
SZYMCZAK
ADAMSKA
BLASZCZYK
BOROWSKA
GORECKA
SZCZEPANIAK
KANIA
LESZCZYNSKA
JANIK
CZERWINSKA
CHOJNACKA
LIPINSKA
ANDRZEJEWSKA
WESOLOWSKA
KOWALEWSKA
MIKOLAJCZYK
MUCHA
CIESLAK
JAROSZ
ZIEBA
KONIECZNA
KOZIOL
MARKOWSKA
KOWALIK
KOLODZIEJCZYK
MUSIAL
BRZOZOWSKA
DOMANSKA
TOMCZYK
ORLOWSKA
PAWLIK
PIATEK
NOWACKA
KOPEC
TOMCZAK
KRUK
KUREK
ZAK
CIESIELSKA
KOT
MARKIEWICZ
POLAK
WAWRZYNIAK
WOLSKA
WOJTOWICZ
STANKIEWICZ
JASTRZEBSKA
SOWA
URBANIAK
KARPINSKA
CZAJKOWSKA
STASIAK
WIERZBICKA
LUCZAK
NAWROCKA
PIASECKA
KLIMEK
DZIEDZIC
SOSNOWSKA
JANICKA
BEDNAREK
BIELECKA
MILEWSKA
GAJDA
STEFANSKA
MADEJ
MAJCHRZAK
LESNIAK
JOZWIAK
MAJ
URBAN
KOWAL
SLIWINSKA
SKIBA
MALECKA
BEDNARCZYK
SOCHA
DOBROWOLSKA
MAREK
MICHALIK
ROMANOWSKA
DOMAGALA
RATAJCZAK
WRONA
WILCZYNSKA
KASPRZAK
MATUSZEWSKA
ORZECHOWSKA
SWIATEK
OLEJNICZAK
PAJAK
RYBAK
KUROWSKA
BUKOWSKA
SOBOLEWSKA
OWCZAREK
MAZURKIEWICZ
LUKASIK
ROGOWSKA
OLEJNIK
GRZELAK
KEDZIERSKA
KOSINSKA
BARANSKA
MATUSIAK
SOBCZYK
SKOWRONSKA
MARCINKOWSKA
MARSZALEK
ZYCH
BEDNARSKA
BEDNARZ
CHRZANOWSKA
LISOWSKA
KUCZYNSKA
SWIDERSKA
SROKA
MORAWSKA
KASPRZYK
JANISZEWSKA
KOZIEL
MUSZYNSKA
CHMIEL
BIALEK
GRZYBOWSKA
MALEK
KWIECIEN
JEDRZEJEWSKA
PLUTA
KRZEMINSKA
WITEK
TUREK
MARCZAK
OSINSKA
PALUCH
PIEKARSKA
CZAJA
CZAJKA
KUBICKA
CZECH
ZUKOWSKA
MARZEC
JANOWSKA
MICHALOWSKA
BIERNACKA
SZYDLOWSKA
PRZYBYSZ
GOLEBIEWSKA
SLIWA
SERAFIN
STANISZEWSKA
STEFANIAK
KACZOR
RUDNICKA
LECH
POPLAWSKA
MURAWSKA
KULESZA
LEWICKA
SMOLINSKA
DEBSKA
KUJAWA
PODGORSKA
GORA
KACPRZAK
RAK
STACHOWIAK
PIATKOWSKA
CIESLIK
PIETRZYK
BANACH
MATYSIAK
SOWINSKA
ROSINSKA
BANAS
KARCZEWSKA
NIEMIEC
ZUREK
GOLEBIOWSKA
KLIMCZAK
ZURAWSKA
ZAWADA
GODLEWSKA
BIENIEK
DROZD
AUGUSTYNIAK
CZYZ
KOMOROWSKA
SKRZYPCZAK
GROCHOWSKA
GRUSZKA
GORKA
KUS
ROZANSKA
WINIARSKA
PRZYBYLA
SZCZESNA
CYBULSKA
KULIK
KRAWIEC
PTAK
LESNIEWSKA
PANEK
KONOPKA
ZAREMBA
KRZYZANOWSKA
SLOWIK
GIL
MIKOLAJCZAK
CICHON
CICHOCKA
TOKARSKA
SZCZEPANIK
SIWEK
MIELCZAREK
GRACZYK
ZARZYCKA
MELNYK
STRZELECKA
MLYNARCZYK
SZYMCZYK
BARTKOWIAK
MACKOWIAK
KLOS
BUCZEK
KACZYNSKA
STANCZYK
SZCZYGIEL
KOSTRZEWA
SZOSTAK
BIERNAT
JANUS
NIEWIADOMSKA
WEGRZYN
JANIAK
GRZYB
FILIPIAK
SKOWRON
SIENKIEWICZ
KUCHARCZYK
KALETA
GORNA
JUREK
GAWRON
RAKOWSKA
BOGUSZ
BAGINSKA
KUBIK
KSIAZEK
GASIOR
CIESLA
BANASIAK
ANTCZAK
ZEBROWSKA
BARTCZAK
ROZYCKA
GAWLIK
KROLIKOWSKA
TRZCINSKA
HAJDUK
MIKULSKA
KULA
ZAREBA
ROGALSKA
FRACZEK
GRZEGORCZYK
RZEPKA
ROJEK
DLUGOSZ
MALISZEWSKA
MALEC
ROGALA
PALKA
TROJANOWSKA
GAWRONSKA
DOBOSZ
RADOMSKA
WITCZAK
TKACZYK
BOREK
STEC
RYBICKA
LACH
MIKA
FRANKOWSKA
KISIEL
BOGUCKA
ZABOROWSKA
KARWOWSKA
SLUSARCZYK
KACZOROWSKA
WASIK
GALAZKA
GRZESIAK
KMIECIK
KWASNIEWSKA
WIECKOWSKA
LIPSKA
BIALAS
KUBACKA
WALKOWIAK
FRACKOWIAK
PIETRAS
DUDZINSKA
BOCHENEK
JANAS
SOKOL
PAWELEC
JUSZCZAK
NAWROT
WOJTCZAK
WNUK
WOJCICKA
MROCZEK
LASOTA
ROSIAK
ZYGMUNT
SKRZYPEK
PASTERNAK
KOLODZIEJSKA
BURZYNSKA
CZYZEWSKA
WRONSKA
SZAFRANSKA
PIWOWARCZYK
JEDRZEJCZYK
FIJALKOWSKA
LUKASIEWICZ
GRUSZCZYNSKA
ZMUDA
PIORKOWSKA
BOROWIEC
ZAJACZKOWSKA
KRYSIAK
JURKIEWICZ
JAGIELLO
MISIAK
MASLOWSKA
JAGODZINSKA
LAPINSKA
KRAKOWIAK
DABEK
LISIECKA
JEDRZEJCZAK
BUJAK
PILARSKA
GAWEL
WILCZEK
GUTOWSKA
FLIS
KARAS
DZIUBA
TWARDOWSKA
DRZEWIECKA
SOBIERAJ
SKIBINSKA
STRZELCZYK
BIELAWSKA
DEBOWSKA
LUKASZEWSKA
STELMACH
KUBICA
ZIELONKA
CYGAN
TARNOWSKA
SKOCZYLAS
SZCZESNIAK
KALUZA
